mode=mnemonic functions: old=457 new=457 only_old=0 only_new=0 changed=22
  CHANGED: _strSplit__String_Char  313 -> 313 insns
  CHANGED: _strSplitOn__String_String  399 -> 381 insns
  CHANGED: _strSplitWhitespace__String  244 -> 254 insns
  CHANGED: _strLines__String  322 -> 323 insns
  CHANGED: _benchPrimeSieve__Int  292 -> 314 insns
  CHANGED: _benchBinarySearch__Int  209 -> 195 insns
  CHANGED: _benchQuicksort__Int  166 -> 166 insns
  CHANGED: _benchMergesort__Int  208 -> 206 insns
  CHANGED: _benchGraphBfs__Int  336 -> 351 insns
  CHANGED: _benchKnapsack__Int  452 -> 437 insns
  CHANGED: _benchMatrixMultiply__Int  402 -> 476 insns
  CHANGED: _benchFft__Int  964 -> 994 insns
  CHANGED: _benchVectorDot__Int  266 -> 320 insns
  CHANGED: _benchConvolution__Int  425 -> 489 insns
  CHANGED: _benchVectorGrowth__Int  103 -> 103 insns
  CHANGED: _benchVectorIteration__Int  596 -> 593 insns
  CHANGED: _listModules__String  193 -> 191 insns
  CHANGED: _benchLineProcessing__String  241 -> 240 insns
  CHANGED: _benchTransientAllocation__Int  190 -> 184 insns
  CHANGED: _benchNestedCollection__Int  281 -> 239 insns
  CHANGED: _benchLargeBufferCopy__Int  421 -> 473 insns
  CHANGED: _args__Void  128 -> 128 insns
